Gene1,Gene2,Confidence Score,Origin
AAEL005931,AAEL006721,0.386,yeast
AAEL003820,AAEL004526,0.386,yeast
AAEL014817,AAEL001461,0.386,yeast
AAEL003555,AAEL000978,0.386,yeast
AAEL007293,AAEL003503,0.386,yeast
AAEL011687,AAEL010600,0.386,yeast
AAEL008463,AAEL004455,0.386,yeast
AAEL001636,AAEL003564,0.386,yeast
AAEL000321,AAEL001588,0.386,yeast
AAEL002980,AAEL012919,0.386,yeast
AAEL001616,AAEL006129,0.386,yeast
AAEL003810,AAEL014159,0.386,yeast
AAEL008637,AAEL013950,0.386,yeast
AAEL006634,AAEL006895,0.386,yeast
AAEL013787,AAEL010900,0.386,yeast
AAEL001655,AAEL010500,0.386,yeast
AAEL001976,AAEL003503,0.386,yeast
AAEL005307,AAEL013980,0.386,yeast
AAEL000950,AAEL014921,0.386,yeast
AAEL005931,AAEL003352,0.386,yeast
AAEL006415,AAEL006446,0.386,yeast
AAEL000703,AAEL014919,0.386,yeast
AAEL014167,AAEL012919,0.386,yeast
AAEL010612,AAEL010600,0.386,yeast
AAEL006264,AAEL007289,0.386,yeast
AAEL004347,AAEL009101,0.385,fly
AAEL010388,AAEL005400,0.385,fly
AAEL009784,AAEL002036,0.385,fly
AAEL014333,AAEL006147,0.385,fly
AAEL007988,AAEL013625,0.385,fly
AAEL008687,AAEL013707,0.385,fly
AAEL004862,AAEL013390,0.385,fly
AAEL011071,AAEL009407,0.385,fly
AAEL010390,AAEL000574,0.385,worm
AAEL001154,AAEL000317,0.385,worm
AAEL001154,AAEL000369,0.385,worm
AAEL012925,AAEL014133,0.385,yeast
AAEL004364,AAEL013463,0.385,yeast
AAEL009068,AAEL000950,0.385,yeast
AAEL012094,AAEL003718,0.385,yeast
AAEL012897,AAEL001169,0.385,yeast
AAEL013248,AAEL001618,0.385,yeast
AAEL010007,AAEL009168,0.385,yeast
AAEL002102,AAEL003367,0.385,yeast
AAEL010514,AAEL009169,0.385,yeast
AAEL007702,AAEL006239,0.385,yeast
AAEL014704,AAEL000978,0.385,yeast
AAEL013069,AAEL000404,0.385,yeast
AAEL003833,AAEL011378,0.385,yeast
AAEL014865,AAEL010159,0.385,yeast
AAEL003863,AAEL011378,0.385,yeast
AAEL014702,AAEL010318,0.385,yeast
AAEL015449,AAEL009859,0.385,yeast
AAEL011837,AAEL010508,0.385,yeast
AAEL000950,AAEL011958,0.385,yeast
AAEL001363,AAEL012419,0.385,yeast
AAEL000708,AAEL004050,0.385,yeast
AAEL007909,AAEL010387,0.385,yeast
AAEL005245,AAEL006040,0.385,yeast
AAEL010991,AAEL007033,0.385,yeast
AAEL010159,AAEL002508,0.385,yeast
AAEL013920,AAEL010086,0.385,yeast
AAEL013767,AAEL010341,0.385,yeast
AAEL009357,AAEL004501,0.385,yeast
AAEL006401,AAEL003605,0.385,yeast
AAEL003871,AAEL007297,0.385,yeast
AAEL000642,AAEL000651,0.385,yeast
AAEL009398,AAEL005069,0.385,yeast
AAEL006549,AAEL007655,0.385,yeast
AAEL001742,AAEL004282,0.385,yeast
AAEL006177,AAEL000270,0.385,yeast
AAEL003669,AAEL013068,0.385,yeast
AAEL001333,AAEL001131,0.385,yeast
AAEL006988,AAEL003517,0.385,yeast
AAEL008787,AAEL000743,0.385,yeast
AAEL003071,AAEL009608,0.385,yeast
AAEL001139,AAEL004178,0.385,yeast
AAEL006544,AAEL006789,0.385,yeast
AAEL010532,AAEL000651,0.385,yeast
AAEL010514,AAEL013980,0.385,yeast
AAEL002675,AAEL009884,0.385,yeast
AAEL001204,AAEL009241,0.385,yeast
AAEL003810,AAEL008154,0.385,yeast
AAEL012579,AAEL008467,0.385,yeast
AAEL009383,AAEL005355,0.385,yeast
AAEL010585,AAEL012523,0.385,yeast
AAEL005976,AAEL005108,0.385,yeast
AAEL013181,AAEL006525,0.385,yeast
AAEL005801,AAEL009169,0.385,yeast
AAEL007201,AAEL009334,0.384,fly
AAEL014333,AAEL014667,0.384,fly
AAEL000802,AAEL008788,0.384,fly
AAEL001373,AAEL014950,0.384,fly
AAEL013061,AAEL011433,0.384,fly
AAEL001461,AAEL001461,0.384,fly
AAEL006934,AAEL011745,0.384,fly
AAEL009756,AAEL007475,0.384,fly
AAEL012303,AAEL006147,0.384,fly
AAEL006728,AAEL007932,0.384,fly
AAEL011184,AAEL009324,0.384,fly
AAEL014746,AAEL015076,0.384,fly
AAEL005664,AAEL012960,0.384,fly
AAEL010068,AAEL009649,0.384,fly
AAEL012364,AAEL003180,0.384,yeast
AAEL012326,AAEL003835,0.384,yeast
AAEL002528,AAEL014037,0.384,yeast
AAEL015682,AAEL005567,0.384,yeast
AAEL015678,AAEL005567,0.384,yeast
AAEL008787,AAEL004744,0.384,yeast
AAEL005245,AAEL010404,0.384,yeast
AAEL014540,AAEL000241,0.384,yeast
AAEL006887,AAEL008852,0.384,yeast
AAEL015678,AAEL004441,0.384,yeast
AAEL015675,AAEL004441,0.384,yeast
AAEL000978,AAEL015673,0.384,yeast
AAEL011282,AAEL013463,0.384,yeast
AAEL013390,AAEL014560,0.384,yeast
AAEL015681,AAEL005567,0.384,yeast
AAEL015680,AAEL005567,0.384,yeast
AAEL007790,AAEL008437,0.384,yeast
AAEL015676,AAEL005567,0.384,yeast
AAEL015679,AAEL005567,0.384,yeast
AAEL015674,AAEL004441,0.384,yeast
AAEL013950,AAEL010077,0.384,yeast
AAEL009838,AAEL009172,0.384,yeast
AAEL010823,AAEL004327,0.384,yeast
AAEL013400,AAEL003669,0.384,yeast
AAEL012044,AAEL014159,0.384,yeast
AAEL003808,AAEL014159,0.384,yeast
AAEL015680,AAEL004441,0.384,yeast
AAEL011136,AAEL002834,0.384,yeast
AAEL008232,AAEL014159,0.384,yeast
AAEL015674,AAEL005567,0.384,yeast
AAEL004855,AAEL002261,0.384,yeast
AAEL003833,AAEL014506,0.384,yeast
AAEL006946,AAEL001712,0.384,yeast
AAEL011288,AAEL010671,0.384,yeast
AAEL000703,AAEL012199,0.384,yeast
AAEL012316,AAEL002834,0.384,yeast
AAEL003863,AAEL014506,0.384,yeast
AAEL001540,AAEL007964,0.384,yeast
AAEL010698,AAEL011742,0.384,yeast
AAEL012925,AAEL014314,0.384,yeast
AAEL015682,AAEL004441,0.384,yeast
AAEL015675,AAEL005567,0.384,yeast
AAEL003434,AAEL000651,0.384,yeast
AAEL015676,AAEL004441,0.384,yeast
AAEL009145,AAEL013818,0.384,yeast
AAEL008848,AAEL013098,0.384,yeast
AAEL012147,AAEL009608,0.384,yeast
AAEL013400,AAEL004419,0.384,yeast
AAEL010509,AAEL001616,0.384,yeast
AAEL008257,AAEL004563,0.384,yeast
AAEL000950,AAEL012340,0.384,yeast
AAEL004445,AAEL011052,0.384,yeast
AAEL005877,AAEL005801,0.384,yeast
AAEL011837,AAEL006437,0.384,yeast
AAEL007609,AAEL001251,0.384,yeast
AAEL013390,AAEL006665,0.384,yeast
AAEL013939,AAEL009691,0.384,yeast
AAEL009646,AAEL005319,0.384,yeast
AAEL015677,AAEL005567,0.384,yeast
AAEL015677,AAEL004441,0.384,yeast
AAEL015681,AAEL004441,0.384,yeast
AAEL015679,AAEL004441,0.384,yeast
AAEL000553,AAEL013560,0.383,fly
AAEL007254,AAEL008609,0.383,fly
AAEL004670,AAEL009084,0.383,fly
AAEL004182,AAEL005847,0.383,fly
AAEL012303,AAEL014667,0.383,fly
AAEL013885,AAEL005651,0.383,fly
AAEL014748,AAEL010404,0.383,yeast
AAEL009875,AAEL003070,0.383,yeast
AAEL015464,AAEL003827,0.383,yeast
AAEL009308,AAEL007655,0.383,yeast
AAEL010991,AAEL010691,0.383,yeast
AAEL008468,AAEL002261,0.383,yeast
AAEL003808,AAEL008154,0.383,yeast
AAEL004519,AAEL014218,0.383,yeast
AAEL003555,AAEL011811,0.383,yeast
AAEL008468,AAEL010691,0.383,yeast
AAEL005384,AAEL001218,0.383,yeast
AAEL004338,AAEL004733,0.383,yeast
AAEL003409,AAEL002688,0.383,yeast
AAEL013359,AAEL005455,0.383,yeast
AAEL011187,AAEL009465,0.383,yeast
AAEL010008,AAEL006117,0.383,yeast
AAEL004519,AAEL012349,0.383,yeast
AAEL001506,AAEL000978,0.383,yeast
AAEL011187,AAEL006223,0.383,yeast
AAEL007909,AAEL003497,0.383,yeast
AAEL014414,AAEL005455,0.383,yeast
AAEL005245,AAEL007297,0.383,yeast
AAEL006946,AAEL000473,0.383,yeast
AAEL013236,AAEL004563,0.383,yeast
AAEL008257,AAEL005037,0.383,yeast
AAEL012514,AAEL014414,0.383,yeast
AAEL006169,AAEL012035,0.383,yeast
AAEL000642,AAEL010537,0.383,yeast
AAEL007078,AAEL008852,0.383,yeast
AAEL012044,AAEL008154,0.383,yeast
AAEL008942,AAEL010248,0.383,yeast
AAEL014748,AAEL006040,0.383,yeast
AAEL001540,AAEL000092,0.383,yeast
AAEL006946,AAEL014187,0.383,yeast
AAEL004519,AAEL012343,0.383,yeast
AAEL005289,AAEL014414,0.383,yeast
AAEL014042,AAEL011288,0.383,yeast
AAEL004519,AAEL014917,0.383,yeast
AAEL012514,AAEL013359,0.383,yeast
AAEL014741,AAEL006315,0.383,yeast
AAEL002037,AAEL000181,0.383,yeast
AAEL005799,AAEL006315,0.383,yeast
AAEL001037,AAEL014002,0.383,yeast
AAEL005289,AAEL013359,0.383,yeast
AAEL010532,AAEL010537,0.383,yeast
AAEL008232,AAEL008154,0.383,yeast
AAEL000454,AAEL009691,0.383,yeast
AAEL001851,AAEL009388,0.382,fly
AAEL000719,AAEL003357,0.382,fly
AAEL010854,AAEL006710,0.382,fly
AAEL004734,AAEL002080,0.382,fly
AAEL010975,AAEL002971,0.382,fly
AAEL003041,AAEL008765,0.382,fly
AAEL009280,AAEL011140,0.382,fly
AAEL008831,AAEL002617,0.382,fly
AAEL009280,AAEL001796,0.382,fly
AAEL010619,AAEL012588,0.382,fly
AAEL012942,AAEL002080,0.382,fly
AAEL012120,AAEL014125,0.382,fly
AAEL003440,AAEL000770,0.382,fly
AAEL003905,AAEL001231,0.382,fly
AAEL008687,AAEL007601,0.382,fly
AAEL012588,AAEL011927,0.382,fly
AAEL012004,AAEL014520,0.382,fly
AAEL004779,AAEL001231,0.382,fly
AAEL009140,AAEL014491,0.382,fly
AAEL003440,AAEL003903,0.382,fly
AAEL014077,AAEL014125,0.382,fly
AAEL009172,AAEL001231,0.382,fly
AAEL013920,AAEL000999,0.382,yeast
AAEL000642,AAEL000678,0.382,yeast
AAEL008930,AAEL010143,0.382,yeast
AAEL010077,AAEL005262,0.382,yeast
AAEL001540,AAEL001090,0.382,yeast
AAEL011150,AAEL013249,0.382,yeast
AAEL003669,AAEL003975,0.382,yeast
AAEL013076,AAEL005262,0.382,yeast
AAEL006946,AAEL007263,0.382,yeast
AAEL000703,AAEL011467,0.382,yeast
AAEL000497,AAEL007521,0.382,yeast
AAEL000208,AAEL009345,0.382,yeast
AAEL006063,AAEL000950,0.382,yeast
AAEL000525,AAEL007521,0.382,yeast
AAEL007078,AAEL011876,0.382,yeast
AAEL002951,AAEL007948,0.382,yeast
AAEL007005,AAEL007521,0.382,yeast
AAEL001203,AAEL004285,0.382,yeast
AAEL006187,AAEL000175,0.382,yeast
AAEL003809,AAEL014159,0.382,yeast
AAEL003818,AAEL007521,0.382,yeast
AAEL002951,AAEL010500,0.382,yeast
AAEL015314,AAEL001131,0.382,yeast
AAEL000494,AAEL007521,0.382,yeast
AAEL000703,AAEL012350,0.382,yeast
AAEL004942,AAEL000687,0.382,yeast
AAEL001916,AAEL010075,0.382,yeast
AAEL001203,AAEL008510,0.382,yeast
AAEL014051,AAEL000978,0.382,yeast
AAEL004059,AAEL000703,0.382,yeast
AAEL002261,AAEL005262,0.382,yeast
AAEL010532,AAEL000678,0.382,yeast
AAEL003851,AAEL007521,0.382,yeast
AAEL003826,AAEL007521,0.382,yeast
AAEL003434,AAEL010537,0.382,yeast
AAEL009308,AAEL011052,0.382,yeast
AAEL006174,AAEL000022,0.382,yeast
AAEL003862,AAEL007521,0.382,yeast
AAEL009309,AAEL003370,0.382,yeast
AAEL001917,AAEL010317,0.382,yeast
AAEL010248,AAEL009579,0.382,yeast
AAEL006177,AAEL000175,0.382,yeast
AAEL009618,AAEL002594,0.382,yeast
AAEL009084,AAEL007568,0.382,yeast
AAEL007033,AAEL001616,0.382,yeast
AAEL000746,AAEL009273,0.382,yeast
AAEL001917,AAEL004368,0.382,yeast
AAEL000518,AAEL007521,0.382,yeast
AAEL005287,AAEL009747,0.381,fly
AAEL012368,AAEL005667,0.381,fly
AAEL004223,AAEL002238,0.381,fly
AAEL008094,AAEL009747,0.381,fly
AAEL008754,AAEL004388,0.381,fly
AAEL004020,AAEL002772,0.381,fly
AAEL013676,AAEL005399,0.381,fly
AAEL014723,AAEL010003,0.381,fly
AAEL009756,AAEL000348,0.381,fly
AAEL002975,AAEL002876,0.381,fly
AAEL011256,AAEL014018,0.381,fly
AAEL007387,AAEL004489,0.381,fly
AAEL014723,AAEL005399,0.381,fly
AAEL013676,AAEL010003,0.381,fly
AAEL010411,AAEL005512,0.381,fly
AAEL003440,AAEL002238,0.381,fly
AAEL010215,AAEL010689,0.381,fly
AAEL005706,AAEL004840,0.381,fly
AAEL014578,AAEL007082,0.381,fly
AAEL003819,AAEL001801,0.381,fly
AAEL009756,AAEL012196,0.381,fly
AAEL008741,AAEL005843,0.381,fly
AAEL011590,AAEL003872,0.381,worm
AAEL008500,AAEL010651,0.381,worm
AAEL014613,AAEL000331,0.381,worm
AAEL011590,AAEL008740,0.381,worm
AAEL006784,AAEL000331,0.381,worm
AAEL008846,AAEL000331,0.381,worm
AAEL014609,AAEL000331,0.381,worm
AAEL011590,AAEL003541,0.381,worm
AAEL014583,AAEL009646,0.381,yeast
AAEL004519,AAEL014919,0.381,yeast
AAEL013530,AAEL004477,0.381,yeast
AAEL006976,AAEL003786,0.381,yeast
AAEL003833,AAEL003039,0.381,yeast
AAEL003863,AAEL003039,0.381,yeast
AAEL000418,AAEL012951,0.381,yeast
AAEL006169,AAEL000354,0.381,yeast
AAEL003581,AAEL005932,0.381,yeast
AAEL015622,AAEL006808,0.381,yeast
AAEL003809,AAEL008154,0.381,yeast
AAEL008848,AAEL015001,0.381,yeast
AAEL010536,AAEL000667,0.381,yeast
AAEL005289,AAEL011711,0.381,yeast
AAEL000832,AAEL001037,0.381,yeast
AAEL013676,AAEL005455,0.381,yeast
AAEL003514,AAEL000001,0.381,yeast
AAEL009497,AAEL002160,0.381,yeast
AAEL005637,AAEL001962,0.381,yeast
AAEL000642,AAEL000647,0.381,yeast
AAEL009159,AAEL006928,0.381,yeast
AAEL004563,AAEL006129,0.381,yeast
AAEL003434,AAEL000678,0.381,yeast
AAEL013249,AAEL003071,0.381,yeast
AAEL004844,AAEL006928,0.381,yeast
AAEL006187,AAEL009067,0.381,yeast
AAEL010885,AAEL011389,0.381,yeast
AAEL009068,AAEL011711,0.381,yeast
AAEL000651,AAEL000651,0.381,yeast
AAEL010588,AAEL009914,0.381,yeast
AAEL011564,AAEL014865,0.381,yeast
AAEL010991,AAEL010251,0.381,yeast
AAEL005931,AAEL009497,0.381,yeast
AAEL003581,AAEL015455,0.381,yeast
AAEL003734,AAEL001169,0.381,yeast
AAEL014723,AAEL005455,0.381,yeast
AAEL005037,AAEL010080,0.381,yeast
AAEL003391,AAEL006315,0.381,yeast
AAEL007662,AAEL012448,0.381,yeast
AAEL000794,AAEL006187,0.381,yeast
AAEL010991,AAEL014262,0.381,yeast
AAEL009068,AAEL009651,0.381,yeast
AAEL006441,AAEL004148,0.381,yeast
AAEL003303,AAEL008459,0.381,yeast
AAEL003555,AAEL014002,0.381,yeast
AAEL002785,AAEL001962,0.381,yeast
AAEL001916,AAEL011288,0.381,yeast
AAEL010007,AAEL001238,0.381,yeast
AAEL009068,AAEL011114,0.381,yeast
AAEL005201,AAEL009497,0.381,yeast
AAEL010885,AAEL004050,0.381,yeast
AAEL011567,AAEL006937,0.381,yeast
AAEL005289,AAEL009651,0.381,yeast
AAEL000461,AAEL006951,0.381,yeast
AAEL008117,AAEL006315,0.381,yeast
AAEL001540,AAEL001078,0.381,yeast
AAEL004855,AAEL009831,0.381,yeast
AAEL014748,AAEL007297,0.381,yeast
AAEL003669,AAEL004263,0.381,yeast
AAEL003669,AAEL001382,0.381,yeast
AAEL003729,AAEL010677,0.381,yeast
AAEL006946,AAEL012331,0.381,yeast
AAEL011197,AAEL012525,0.381,yeast
AAEL007958,AAEL010411,0.381,yeast
AAEL006085,AAEL007639,0.381,yeast
AAEL002090,AAEL007568,0.381,yeast
AAEL010532,AAEL000647,0.381,yeast
AAEL001972,AAEL007022,0.38,fly
AAEL011419,AAEL012526,0.38,fly
AAEL008687,AAEL013714,0.38,fly
AAEL011419,AAEL014623,0.38,fly
AAEL013795,AAEL012115,0.38,fly
AAEL013795,AAEL014070,0.38,fly
AAEL009224,AAEL012621,0.38,fly
AAEL007342,AAEL015274,0.38,fly
AAEL002785,AAEL002294,0.38,yeast
AAEL014722,AAEL009308,0.38,yeast
AAEL013679,AAEL009308,0.38,yeast
AAEL000081,AAEL005041,0.38,yeast
AAEL007790,AAEL015244,0.38,yeast
AAEL001916,AAEL000743,0.38,yeast
AAEL000454,AAEL013012,0.38,yeast
AAEL007790,AAEL011433,0.38,yeast
AAEL007845,AAEL004351,0.38,yeast
AAEL003968,AAEL003786,0.38,yeast
AAEL000118,AAEL009073,0.38,yeast
AAEL009497,AAEL012359,0.38,yeast
AAEL002261,AAEL004351,0.38,yeast
AAEL011750,AAEL015622,0.38,yeast
AAEL007790,AAEL012348,0.38,yeast
AAEL007326,AAEL008247,0.38,yeast
AAEL006721,AAEL006834,0.38,yeast
AAEL010087,AAEL013676,0.38,yeast
AAEL000794,AAEL009241,0.38,yeast
AAEL013068,AAEL009898,0.38,yeast
AAEL012094,AAEL004364,0.38,yeast
AAEL000783,AAEL011114,0.38,yeast
AAEL015607,AAEL011114,0.38,yeast
AAEL011827,AAEL009497,0.38,yeast
AAEL003581,AAEL002102,0.38,yeast
AAEL005261,AAEL007669,0.38,yeast
AAEL004445,AAEL009912,0.38,yeast
AAEL014750,AAEL011832,0.38,yeast
AAEL010087,AAEL014723,0.38,yeast
AAEL013079,AAEL006315,0.38,yeast
AAEL001037,AAEL006925,0.38,yeast
AAEL002764,AAEL006129,0.38,yeast
AAEL012284,AAEL008459,0.38,yeast
AAEL009928,AAEL010804,0.38,yeast
AAEL006085,AAEL004501,0.38,yeast
AAEL004970,AAEL014002,0.38,yeast
AAEL009618,AAEL004134,0.38,yeast
AAEL001716,AAEL010900,0.38,yeast
AAEL007790,AAEL003605,0.38,yeast
AAEL009510,AAEL003568,0.38,yeast
AAEL013539,AAEL004699,0.38,yeast
AAEL003581,AAEL012260,0.38,yeast
AAEL008848,AAEL000404,0.38,yeast
AAEL014668,AAEL013236,0.38,yeast
AAEL008787,AAEL003743,0.38,yeast
AAEL001540,AAEL007954,0.38,yeast
AAEL005825,AAEL009808,0.38,yeast
AAEL006946,AAEL010897,0.38,yeast
AAEL014869,AAEL008459,0.38,yeast
AAEL003434,AAEL000647,0.38,yeast
AAEL008257,AAEL005400,0.379,fly
AAEL009306,AAEL007148,0.379,fly
AAEL014746,AAEL000079,0.379,fly
AAEL004843,AAEL002182,0.379,fly
AAEL010467,AAEL002882,0.379,fly
AAEL008164,AAEL006057,0.379,fly
AAEL006793,AAEL000809,0.379,fly
AAEL014907,AAEL007348,0.379,fly
AAEL004133,AAEL003118,0.379,fly
AAEL014605,AAEL000809,0.379,fly
AAEL014605,AAEL005203,0.379,fly
AAEL006677,AAEL013831,0.379,fly
AAEL014714,AAEL005077,0.379,fly
AAEL006793,AAEL005203,0.379,fly
AAEL009018,AAEL001426,0.379,worm
AAEL002046,AAEL001426,0.379,worm
AAEL003370,AAEL014002,0.379,yeast
AAEL000651,AAEL010537,0.379,yeast
AAEL000703,AAEL002515,0.379,yeast
AAEL010536,AAEL000392,0.379,yeast
AAEL010536,AAEL009524,0.379,yeast
AAEL002709,AAEL009618,0.379,yeast
AAEL007803,AAEL011958,0.379,yeast
AAEL011827,AAEL000641,0.379,yeast
AAEL000703,AAEL014916,0.379,yeast
AAEL004050,AAEL006549,0.379,yeast
AAEL003497,AAEL000703,0.379,yeast
AAEL005108,AAEL013528,0.379,yeast
AAEL000703,AAEL015326,0.379,yeast
AAEL012943,AAEL001616,0.379,yeast
AAEL000703,AAEL012345,0.379,yeast
AAEL000707,AAEL011745,0.379,yeast
AAEL004997,AAEL013386,0.379,yeast
AAEL009273,AAEL012235,0.379,yeast
AAEL010037,AAEL008108,0.379,yeast
AAEL015464,AAEL004368,0.379,yeast
AAEL004651,AAEL006315,0.379,yeast
AAEL000794,AAEL009230,0.379,yeast
AAEL006401,AAEL001382,0.379,yeast
AAEL002785,AAEL004942,0.379,yeast
AAEL000703,AAEL012342,0.379,yeast
AAEL006887,AAEL004997,0.379,yeast
AAEL006401,AAEL004263,0.379,yeast
AAEL013181,AAEL013675,0.379,yeast
AAEL013249,AAEL004368,0.379,yeast
AAEL005261,AAEL001461,0.379,yeast
AAEL001951,AAEL005201,0.379,yeast
AAEL010485,AAEL000404,0.379,yeast
AAEL005289,AAEL011758,0.379,yeast
AAEL005504,AAEL007325,0.379,yeast
AAEL009216,AAEL007845,0.379,yeast
AAEL006441,AAEL010048,0.379,yeast
AAEL011226,AAEL004925,0.379,yeast
AAEL004519,AAEL012199,0.379,yeast
AAEL001540,AAEL010582,0.379,yeast
AAEL003206,AAEL012943,0.379,yeast
AAEL011759,AAEL007947,0.379,yeast
AAEL015680,AAEL007439,0.378,fly
AAEL001454,AAEL011363,0.378,fly
AAEL015678,AAEL007439,0.378,fly
AAEL012659,AAEL000468,0.378,fly
AAEL004697,AAEL013535,0.378,fly
AAEL007498,AAEL004902,0.378,fly
AAEL015675,AAEL007439,0.378,fly
AAEL015679,AAEL007439,0.378,fly
AAEL003973,AAEL006949,0.378,fly
AAEL010730,AAEL001733,0.378,fly
AAEL004435,AAEL009590,0.378,fly
AAEL010215,AAEL006447,0.378,fly
AAEL015681,AAEL007439,0.378,fly
AAEL014194,AAEL005454,0.378,fly
AAEL005561,AAEL015108,0.378,fly
AAEL015674,AAEL007439,0.378,fly
AAEL015677,AAEL007439,0.378,fly
AAEL007084,AAEL014749,0.378,fly
AAEL006367,AAEL012427,0.378,fly
AAEL010730,AAEL011192,0.378,fly
AAEL009649,AAEL002375,0.378,fly
AAEL007498,AAEL007141,0.378,fly
AAEL007173,AAEL009666,0.378,fly
AAEL001379,AAEL013063,0.378,fly
AAEL006289,AAEL007752,0.378,fly
AAEL005476,AAEL004435,0.378,fly
AAEL015676,AAEL007439,0.378,fly
AAEL010605,AAEL008463,0.378,fly
AAEL015108,AAEL011124,0.378,fly
AAEL013962,AAEL002318,0.378,fly
AAEL007498,AAEL003431,0.378,fly
AAEL004435,AAEL002076,0.378,fly
AAEL014160,AAEL010951,0.378,fly
AAEL001921,AAEL015108,0.378,fly
AAEL002767,AAEL003530,0.378,fly
AAEL010988,AAEL008571,0.378,fly
AAEL003885,AAEL011719,0.378,fly
AAEL005083,AAEL012800,0.378,fly
AAEL008139,AAEL010951,0.378,fly
AAEL006888,AAEL008295,0.378,fly
AAEL006895,AAEL003885,0.378,fly
AAEL003885,AAEL014388,0.378,fly
AAEL010515,AAEL009026,0.378,fly
AAEL011340,AAEL001356,0.378,worm
AAEL009701,AAEL005656,0.378,worm
AAEL003091,AAEL000574,0.378,worm
AAEL011340,AAEL004756,0.378,worm
AAEL014506,AAEL014900,0.378,yeast
AAEL007609,AAEL005114,0.378,yeast
AAEL004042,AAEL003871,0.378,yeast
AAEL001716,AAEL009914,0.378,yeast
AAEL003786,AAEL011017,0.378,yeast
AAEL003555,AAEL006925,0.378,yeast
AAEL001715,AAEL014704,0.378,yeast
AAEL001917,AAEL005163,0.378,yeast
AAEL002037,AAEL009649,0.378,yeast
AAEL001484,AAEL005801,0.378,yeast
AAEL005307,AAEL003814,0.378,yeast
AAEL005307,AAEL003838,0.378,yeast
AAEL011226,AAEL013365,0.378,yeast
AAEL005307,AAEL003823,0.378,yeast
AAEL004733,AAEL005455,0.378,yeast
AAEL006085,AAEL001823,0.378,yeast
AAEL005307,AAEL000490,0.378,yeast
AAEL005364,AAEL010318,0.378,yeast
AAEL010885,AAEL011832,0.378,yeast
AAEL011226,AAEL004929,0.378,yeast
AAEL005307,AAEL003846,0.378,yeast
AAEL009241,AAEL003588,0.378,yeast
AAEL005610,AAEL003872,0.378,yeast
AAEL005307,AAEL000501,0.378,yeast
AAEL009084,AAEL013249,0.378,yeast
AAEL013098,AAEL014831,0.378,yeast
AAEL013069,AAEL003367,0.378,yeast
AAEL011226,AAEL013361,0.378,yeast
AAEL001917,AAEL011255,0.378,yeast
AAEL014324,AAEL012653,0.378,yeast
AAEL005307,AAEL013709,0.378,yeast
AAEL001607,AAEL005931,0.378,yeast
AAEL005307,AAEL003689,0.378,yeast
AAEL011226,AAEL013362,0.378,yeast
AAEL010317,AAEL008852,0.378,yeast
AAEL005307,AAEL000517,0.378,yeast
AAEL005307,AAEL003673,0.378,yeast
AAEL003206,AAEL007892,0.378,yeast
AAEL000708,AAEL007908,0.378,yeast
AAEL009383,AAEL001363,0.378,yeast
AAEL007609,AAEL015263,0.378,yeast
AAEL005307,AAEL011999,0.378,yeast
AAEL010827,AAEL009579,0.378,yeast
AAEL005307,AAEL000513,0.378,yeast
AAEL000703,AAEL012344,0.378,yeast
AAEL000651,AAEL000678,0.378,yeast
AAEL005307,AAEL003866,0.378,yeast
AAEL005356,AAEL003539,0.378,yeast
AAEL000703,AAEL014920,0.378,yeast
AAEL004855,AAEL006129,0.378,yeast
AAEL006928,AAEL002331,0.378,yeast
AAEL011411,AAEL014159,0.378,yeast
AAEL000703,AAEL014918,0.378,yeast
AAEL015449,AAEL004445,0.378,yeast
AAEL010013,AAEL004148,0.378,yeast
AAEL009275,AAEL011527,0.378,yeast
AAEL005025,AAEL010588,0.378,yeast
AAEL012851,AAEL003718,0.378,yeast
AAEL000794,AAEL015143,0.378,yeast
AAEL011494,AAEL008452,0.377,fly
AAEL009353,AAEL014998,0.377,fly
AAEL003271,AAEL007692,0.377,fly
AAEL001742,AAEL004542,0.377,fly
AAEL012476,AAEL003318,0.377,fly
AAEL009238,AAEL014628,0.377,fly
AAEL012315,AAEL014392,0.377,fly
AAEL005723,AAEL001444,0.377,fly
AAEL012197,AAEL006031,0.377,fly
AAEL014614,AAEL000809,0.377,fly
AAEL012459,AAEL003055,0.377,fly
AAEL004428,AAEL015564,0.377,fly
AAEL014194,AAEL014162,0.377,fly
AAEL010060,AAEL014072,0.377,fly
AAEL007321,AAEL014640,0.377,fly
AAEL012593,AAEL003542,0.377,fly
AAEL014614,AAEL005203,0.377,fly
AAEL006798,AAEL005203,0.377,fly
AAEL002055,AAEL001874,0.377,fly
AAEL005513,AAEL001476,0.377,fly
AAEL001506,AAEL004185,0.377,fly
AAEL006798,AAEL000809,0.377,fly
AAEL006265,AAEL011478,0.377,fly
AAEL003076,AAEL000574,0.377,worm
AAEL000001,AAEL010843,0.377,yeast
AAEL004738,AAEL004733,0.377,yeast
AAEL010514,AAEL003823,0.377,yeast
AAEL005355,AAEL004546,0.377,yeast
AAEL005415,AAEL000249,0.377,yeast
AAEL010514,AAEL000513,0.377,yeast
AAEL003833,AAEL014037,0.377,yeast
AAEL003669,AAEL004526,0.377,yeast
AAEL011411,AAEL008154,0.377,yeast
AAEL004970,AAEL006925,0.377,yeast
AAEL003514,AAEL012851,0.377,yeast
AAEL009651,AAEL002261,0.377,yeast
AAEL013539,AAEL010900,0.377,yeast
