Gene1,Gene2,Confidence Score,Origin
AAEL005355,AAEL004848,0.996,yeast
AAEL001363,AAEL014169,0.996,yeast
AAEL013700,AAEL008755,0.996,yeast/fly
AAEL004733,AAEL000270,0.996,yeast/worm/fly
AAEL007029,AAEL003416,0.995,fly
AAEL006518,AAEL006518,0.995,fly
AAEL015584,AAEL004607,0.995,fly
AAEL007566,AAEL014883,0.995,fly
AAEL007566,AAEL013591,0.995,fly
AAEL003611,AAEL002533,0.995,fly
AAEL009407,AAEL004052,0.995,yeast/fly
AAEL003371,AAEL009160,0.995,yeast/fly
AAEL013818,AAEL012348,0.995,yeast/worm/fly
AAEL013818,AAEL015244,0.995,yeast/worm/fly
AAEL007617,AAEL008692,0.994,fly
AAEL008788,AAEL002303,0.994,fly
AAEL013530,AAEL003371,0.994,yeast
AAEL012925,AAEL009400,0.994,yeast
AAEL001363,AAEL013061,0.994,yeast
AAEL004848,AAEL013061,0.994,yeast/fly
AAEL001733,AAEL007211,0.993,fly
AAEL008171,AAEL006048,0.993,fly
AAEL011192,AAEL007211,0.993,fly
AAEL002009,AAEL011094,0.993,fly
AAEL007988,AAEL002831,0.993,yeast
AAEL009059,AAEL009041,0.993,yeast/fly
AAEL008255,AAEL002831,0.993,yeast/fly
AAEL005358,AAEL005358,0.992,fly
AAEL011875,AAEL001422,0.992,fly
AAEL010662,AAEL002687,0.992,fly
AAEL001385,AAEL011363,0.992,fly
AAEL015566,AAEL002687,0.992,fly
AAEL002384,AAEL015120,0.992,fly
AAEL002384,AAEL011667,0.992,fly
AAEL001359,AAEL001359,0.992,fly
AAEL006647,AAEL000026,0.992,fly
AAEL008700,AAEL008700,0.992,fly
AAEL012658,AAEL005782,0.992,fly
AAEL005736,AAEL007469,0.992,worm/fly
AAEL007457,AAEL011358,0.992,yeast
AAEL000478,AAEL005355,0.992,yeast
AAEL011663,AAEL005719,0.992,yeast
AAEL005651,AAEL015236,0.991,fly
AAEL009280,AAEL011776,0.991,fly
AAEL013094,AAEL008694,0.991,fly
AAEL007822,AAEL007710,0.991,fly
AAEL005651,AAEL012049,0.991,fly
AAEL002643,AAEL002643,0.991,fly
AAEL013529,AAEL003445,0.991,fly
AAEL008081,AAEL011057,0.991,fly
AAEL015216,AAEL008692,0.991,fly
AAEL011058,AAEL008694,0.991,fly
AAEL012326,AAEL009357,0.991,yeast
AAEL005500,AAEL011754,0.991,yeast/fly
AAEL000478,AAEL001363,0.991,yeast/fly
AAEL000719,AAEL009958,0.99,fly
AAEL008743,AAEL013679,0.99,fly
AAEL011438,AAEL004983,0.99,fly
AAEL003271,AAEL006960,0.99,fly
AAEL008743,AAEL014722,0.99,fly
AAEL002643,AAEL001555,0.99,fly
AAEL009220,AAEL002096,0.99,fly
AAEL010088,AAEL007357,0.99,fly
AAEL009089,AAEL002286,0.99,yeast
AAEL007988,AAEL013369,0.99,yeast
AAEL007297,AAEL002508,0.99,yeast
AAEL007988,AAEL003912,0.99,yeast
AAEL007065,AAEL007065,0.99,yeast
AAEL009602,AAEL014934,0.989,fly
AAEL004852,AAEL004852,0.989,fly
AAEL015389,AAEL008692,0.989,fly
AAEL001555,AAEL001555,0.989,fly
AAEL013693,AAEL011057,0.989,fly
AAEL002098,AAEL008081,0.989,yeast/fly
AAEL007988,AAEL007185,0.989,yeast/worm
AAEL002286,AAEL007574,0.988,fly
AAEL008617,AAEL005400,0.988,fly
AAEL012543,AAEL013800,0.988,fly
AAEL004630,AAEL003623,0.988,worm/fly
AAEL013530,AAEL009160,0.988,yeast
AAEL011663,AAEL013869,0.988,yeast
AAEL005356,AAEL005719,0.988,yeast
AAEL000478,AAEL004848,0.988,yeast
AAEL000478,AAEL014169,0.988,yeast
AAEL002098,AAEL013693,0.988,yeast/fly
AAEL001188,AAEL005197,0.988,yeast/fly
AAEL004262,AAEL014501,0.987,fly
AAEL013181,AAEL015076,0.987,fly
AAEL011704,AAEL014957,0.987,fly
AAEL008165,AAEL015076,0.987,fly
AAEL014843,AAEL014957,0.987,fly
AAEL000475,AAEL014295,0.987,fly
AAEL008621,AAEL004492,0.987,yeast
AAEL008641,AAEL010070,0.987,yeast
AAEL001742,AAEL004288,0.987,yeast
AAEL013613,AAEL004338,0.987,yeast/fly
AAEL011192,AAEL013386,0.987,yeast/fly
